id,name,sku,price,original_price,stock,image,category,sizes,description,material,origin
l31,Embroidered Organza Lace — 4 inch — Ivory,ZX-LACE-0091,250,360,62,https://images.unsplash.com/photo-1618375569909-3c8616cf7733?w=600&h=750&fit=crop&q=80,lace,"1 Meter,5 Meter,10 Meter","Genuine export-surplus embroidered organza lace, 4 inch width, in ivory. Sold by the metre — ideal for finishing necklines, hems, and dupattas.",Embroidered Organza Lace,Pakistan — Export Leftover
u3,Lawn Embroidered & Printed Unstitched 2-Piece — Beige,ZX-UNS-0003,4450,6900,40,https://images.unsplash.com/photo-1522335789203-aabd1fc54bc9?w=600&h=750&fit=crop&q=80,unstitched,Unstitched,"Export-leftover lawn fabric, embroidered & printed, cut as a complete 2-piece suit in beige. Genuine surplus yardage held back after the export order was finalised.",Lawn · Embroidered & Printed,Pakistan — Export Leftover
u19,Viscose Digital Print Unstitched 1-Piece — Mint,ZX-UNS-0019,3850,6700,10,https://images.unsplash.com/photo-1544441893-675973e31985?w=600&h=750&fit=crop&q=80,unstitched,Unstitched,"Export-leftover viscose fabric, digital print, cut as a complete 1-piece suit in mint. Genuine surplus yardage held back after the export order was finalised.",Viscose · Digital Print,Pakistan — Export Leftover
u31,Cambric Geometric Print Unstitched 3-Piece with Dupatta — Ivory,ZX-UNS-0031,4350,8800,13,https://images.unsplash.com/photo-1517841905240-472988babdf9?w=600&h=750&fit=crop&q=80,unstitched,Unstitched,"Export-leftover cambric fabric, geometric print, cut as a complete 3-piece with dupatta suit in ivory. Genuine surplus yardage held back after the export order was finalised.",Cambric · Geometric Print,Pakistan — Export Leftover
l9,Tissue Lace — 1.5 inch — Blush Pink,ZX-LACE-0069,500,760,29,https://images.unsplash.com/photo-1615397349754-cfa2066a298e?w=600&h=750&fit=crop&q=80,lace,"1 Meter,5 Meter,10 Meter","Genuine export-surplus tissue lace, 1.5 inch width, in blush pink. Sold by the metre — ideal for finishing necklines, hems, and dupattas.",Tissue Lace,Pakistan — Export Leftover
u45,Khaddar Geometric Print Unstitched 3-Piece with Dupatta — Beige,ZX-UNS-0045,1850,2700,12,https://images.unsplash.com/photo-1620799140408-edc6dcb6d633?w=600&h=750&fit=crop&q=80,unstitched,Unstitched,"Export-leftover khaddar fabric, geometric print, cut as a complete 3-piece with dupatta suit in beige. Genuine surplus yardage held back after the export order was finalised.",Khaddar · Geometric Print,Pakistan — Export Leftover
l26,Pearl Lace — 2 inch — Teal,ZX-LACE-0086,350,540,76,https://images.unsplash.com/photo-1620799139507-2a76f79a2f4d?w=600&h=750&fit=crop&q=80,lace,"1 Meter,5 Meter,10 Meter","Genuine export-surplus pearl lace, 2 inch width, in teal. Sold by the metre — ideal for finishing necklines, hems, and dupattas.",Pearl Lace,Pakistan — Export Leftover
l4,Pearl Lace — 1.5 inch — Charcoal Grey,ZX-LACE-0064,850,1130,41,https://images.unsplash.com/photo-1601924994987-69e26d50dc26?w=600&h=750&fit=crop&q=80,lace,"1 Meter,5 Meter,10 Meter","Genuine export-surplus pearl lace, 1.5 inch width, in charcoal grey. Sold by the metre — ideal for finishing necklines, hems, and dupattas.",Pearl Lace,Pakistan — Export Leftover
u1,Karandi Printed Unstitched 3-Piece — Peach,ZX-UNS-0001,3200,4750,9,https://images.unsplash.com/photo-1620799140408-edc6dcb6d633?w=600&h=750&fit=crop&q=80,unstitched,Unstitched,"Export-leftover karandi fabric, printed, cut as a complete 3-piece suit in peach. Genuine surplus yardage held back after the export order was finalised.",Karandi · Printed,Pakistan — Export Leftover
l11,Crochet Lace — 3 inch — Lavender,ZX-LACE-0071,150,270,58,https://images.unsplash.com/photo-1618375569909-3c8616cf7733?w=600&h=750&fit=crop&q=80,lace,"1 Meter,5 Meter,10 Meter","Genuine export-surplus crochet lace, 3 inch width, in lavender. Sold by the metre — ideal for finishing necklines, hems, and dupattas.",Crochet Lace,Pakistan — Export Leftover
u5,Karandi Floral Print Unstitched 1-Piece — Rust,ZX-UNS-0005,4000,7250,5,https://images.unsplash.com/photo-1602810318383-e386cc2a3ccf?w=600&h=750&fit=crop&q=80,unstitched,Unstitched,"Export-leftover karandi fabric, floral print, cut as a complete 1-piece suit in rust. Genuine surplus yardage held back after the export order was finalised.",Karandi · Floral Print,Pakistan — Export Leftover
u36,Karandi Block Print Unstitched 1-Piece — Mint,ZX-UNS-0036,2300,3850,40,https://images.unsplash.com/photo-1610030469983-98e550d6193c?w=600&h=750&fit=crop&q=80,unstitched,Unstitched,"Export-leftover karandi fabric, block print, cut as a complete 1-piece suit in mint. Genuine surplus yardage held back after the export order was finalised.",Karandi · Block Print,Pakistan — Export Leftover
u12,Karandi Block Print Unstitched 3-Piece — Ivory,ZX-UNS-0012,5950,10400,44,https://images.unsplash.com/photo-1602810318383-e386cc2a3ccf?w=600&h=750&fit=crop&q=80,unstitched,Unstitched,"Export-leftover karandi fabric, block print, cut as a complete 3-piece suit in ivory. Genuine surplus yardage held back after the export order was finalised.",Karandi · Block Print,Pakistan — Export Leftover
l17,Tassel Lace — 1.5 inch — Teal,ZX-LACE-0077,650,970,58,https://images.unsplash.com/photo-1620799139507-2a76f79a2f4d?w=600&h=750&fit=crop&q=80,lace,"1 Meter,5 Meter,10 Meter","Genuine export-surplus tassel lace, 1.5 inch width, in teal. Sold by the metre — ideal for finishing necklines, hems, and dupattas.",Tassel Lace,Pakistan — Export Leftover
l19,Tassel Lace — 1.5 inch — Navy Blue,ZX-LACE-0079,200,350,41,https://images.unsplash.com/photo-1615397349754-cfa2066a298e?w=600&h=750&fit=crop&q=80,lace,"1 Meter,5 Meter,10 Meter","Genuine export-surplus tassel lace, 1.5 inch width, in navy blue. Sold by the metre — ideal for finishing necklines, hems, and dupattas.",Tassel Lace,Pakistan — Export Leftover
u6,Organza Embroidered Unstitched 3-Piece with Dupatta — Navy Blue,ZX-UNS-0006,5300,8500,43,https://images.unsplash.com/photo-1610030469983-98e550d6193c?w=600&h=750&fit=crop&q=80,unstitched,Unstitched,"Export-leftover organza fabric, embroidered, cut as a complete 3-piece with dupatta suit in navy blue. Genuine surplus yardage held back after the export order was finalised.",Organza · Embroidered,Pakistan — Export Leftover
u43,Viscose Block Print Unstitched 3-Piece — Sky Blue,ZX-UNS-0043,4900,7700,6,https://images.unsplash.com/photo-1618932260643-eee4a2f652a6?w=600&h=750&fit=crop&q=80,unstitched,Unstitched,"Export-leftover viscose fabric, block print, cut as a complete 3-piece suit in sky blue. Genuine surplus yardage held back after the export order was finalised.",Viscose · Block Print,Pakistan — Export Leftover
u17,Silk Dyed Unstitched 1-Piece — Wine,ZX-UNS-0017,4550,6850,3,https://images.unsplash.com/photo-1522335789203-aabd1fc54bc9?w=600&h=750&fit=crop&q=80,unstitched,Unstitched,"Export-leftover silk fabric, dyed, cut as a complete 1-piece suit in wine. Genuine surplus yardage held back after the export order was finalised.",Silk · Dyed,Pakistan — Export Leftover
u14,Georgette Floral Print Unstitched 3-Piece — Peach,ZX-UNS-0014,2650,4650,8,https://images.unsplash.com/photo-1596755094514-f87e34085b2c?w=600&h=750&fit=crop&q=80,unstitched,Unstitched,"Export-leftover georgette fabric, floral print, cut as a complete 3-piece suit in peach. Genuine surplus yardage held back after the export order was finalised.",Georgette · Floral Print,Pakistan — Export Leftover
u41,Georgette Embroidered & Printed Unstitched 1-Piece — Beige,ZX-UNS-0041,3700,7550,9,https://images.unsplash.com/photo-1594736797933-d0501ba2fe65?w=600&h=750&fit=crop&q=80,unstitched,Unstitched,"Export-leftover georgette fabric, embroidered & printed, cut as a complete 1-piece suit in beige. Genuine surplus yardage held back after the export order was finalised.",Georgette · Embroidered & Printed,Pakistan — Export Leftover
u27,Chiffon Embroidered Unstitched 1-Piece — Coral,ZX-UNS-0027,4050,6850,32,https://images.unsplash.com/photo-1596755094514-f87e34085b2c?w=600&h=750&fit=crop&q=80,unstitched,Unstitched,"Export-leftover chiffon fabric, embroidered, cut as a complete 1-piece suit in coral. Genuine surplus yardage held back after the export order was finalised.",Chiffon · Embroidered,Pakistan — Export Leftover
u13,Khaddar Self-Print Unstitched 2-Piece — Peach,ZX-UNS-0013,5350,9500,40,https://images.unsplash.com/photo-1517841905240-472988babdf9?w=600&h=750&fit=crop&q=80,unstitched,Unstitched,"Export-leftover khaddar fabric, self-print, cut as a complete 2-piece suit in peach. Genuine surplus yardage held back after the export order was finalised.",Khaddar · Self-Print,Pakistan — Export Leftover
u8,Chiffon Embroidered Unstitched 3-Piece with Dupatta — Turquoise,ZX-UNS-0008,4700,8650,26,https://images.unsplash.com/photo-1594736797933-d0501ba2fe65?w=600&h=750&fit=crop&q=80,unstitched,Unstitched,"Export-leftover chiffon fabric, embroidered, cut as a complete 3-piece with dupatta suit in turquoise. Genuine surplus yardage held back after the export order was finalised.",Chiffon · Embroidered,Pakistan — Export Leftover
u40,Karandi Block Print Unstitched 3-Piece — Wine,ZX-UNS-0040,2800,4750,37,https://images.unsplash.com/photo-1522335789203-aabd1fc54bc9?w=600&h=750&fit=crop&q=80,unstitched,Unstitched,"Export-leftover karandi fabric, block print, cut as a complete 3-piece suit in wine. Genuine surplus yardage held back after the export order was finalised.",Karandi · Block Print,Pakistan — Export Leftover
u55,Chiffon Dyed Unstitched 3-Piece with Dupatta — Navy Blue,ZX-UNS-0055,6050,12350,42,https://images.unsplash.com/photo-1544441893-675973e31985?w=600&h=750&fit=crop&q=80,unstitched,Unstitched,"Export-leftover chiffon fabric, dyed, cut as a complete 3-piece with dupatta suit in navy blue. Genuine surplus yardage held back after the export order was finalised.",Chiffon · Dyed,Pakistan — Export Leftover
l20,Embroidered Organza Lace — 4 inch — Blush Pink,ZX-LACE-0080,500,680,24,https://images.unsplash.com/photo-1607083681678-f8492ab959a6?w=600&h=750&fit=crop&q=80,lace,"1 Meter,5 Meter,10 Meter","Genuine export-surplus embroidered organza lace, 4 inch width, in blush pink. Sold by the metre — ideal for finishing necklines, hems, and dupattas.",Embroidered Organza Lace,Pakistan — Export Leftover
l37,Crochet Lace — 6 inch — Mauve,ZX-LACE-0097,550,950,77,https://images.unsplash.com/photo-1607083681678-f8492ab959a6?w=600&h=750&fit=crop&q=80,lace,"1 Meter,5 Meter,10 Meter","Genuine export-surplus crochet lace, 6 inch width, in mauve. Sold by the metre — ideal for finishing necklines, hems, and dupattas.",Crochet Lace,Pakistan — Export Leftover
u58,Georgette Self-Print Unstitched 3-Piece with Dupatta — Beige,ZX-UNS-0058,1800,2900,16,https://images.unsplash.com/photo-1517841905240-472988babdf9?w=600&h=750&fit=crop&q=80,unstitched,Unstitched,"Export-leftover georgette fabric, self-print, cut as a complete 3-piece with dupatta suit in beige. Genuine surplus yardage held back after the export order was finalised.",Georgette · Self-Print,Pakistan — Export Leftover
u49,Chiffon Self-Print Unstitched 2-Piece — Mustard Yellow,ZX-UNS-0049,4200,8400,33,https://images.unsplash.com/photo-1591369822096-ffd140ec948f?w=600&h=750&fit=crop&q=80,unstitched,Unstitched,"Export-leftover chiffon fabric, self-print, cut as a complete 2-piece suit in mustard yellow. Genuine surplus yardage held back after the export order was finalised.",Chiffon · Self-Print,Pakistan — Export Leftover
l7,Gota Lace — 1.5 inch — Turquoise,ZX-LACE-0067,900,1500,45,https://images.unsplash.com/photo-1618375569909-3c8616cf7733?w=600&h=750&fit=crop&q=80,lace,"1 Meter,5 Meter,10 Meter","Genuine export-surplus gota lace, 1.5 inch width, in turquoise. Sold by the metre — ideal for finishing necklines, hems, and dupattas.",Gota Lace,Pakistan — Export Leftover
